GENE,COEFFICIENT
FAM20A,-2.180114559077851
CHRNA5,-2.1743791359353897
SLC7A5,2.1684720463224907
TSPAN1,-2.157883854898877
ME1,-2.138040373890844
CDK1,2.118342079448144
AGR2,2.1174193214328594
UBASH3B,2.1141138202838663
FAM83D,2.1044148749951535
IQGAP3,2.0916856116195626
MAGEE1,-2.091363051329105
FAM102A,-2.0872622340751628
GFRA1,-2.0687825758173397
MELK,-2.017199452937342
ATP7B,-1.9853591211241672
DCAF13,1.9820974047138955
DYNLRB2,-1.9797843814467102
ZWINT,1.961256132260054
ABAT,1.9598786005817208
CEACAM5,1.9391626054558213
PTPRZ1,-1.9324620234204375
CCDC103,-1.9276383207658212
CENPW,1.9172192493755742
TIMELESS,-1.897623306533334
KIAA0040,-1.8818552911600193
ZNF883,-1.8120133237288825
COL7A1,-1.8110671823316569
TBC1D9,1.8047839187896348
CENPI,-1.7881789043450578
SALL2,1.787505217036453
TGFB3,1.783222554263637
GADD45B,-1.7769318980788085
N4BP2L1,1.77197996439962
RARA,1.7488947747538033
PALM,1.7418517951985164
ARL4C,-1.7096304068448571
CEP55,-1.689384236554129
ADAMTSL5,1.6843352168829457
CPEB4,1.6772528178166717
SLC19A2,-1.6614926959602803
VGLL1,-1.647379534263787
KRT14,-1.641900406986708
RIN3,1.626858860293769
NEK2,1.6130575094193467
OSR1,1.6058879044519148
ORC1,1.5987876064353717
SLC27A1,-1.597260601329617
TRIM29,-1.5846544070965711
SKA2,-1.5656218726155433
TMEM88,1.5632170353175496
ARHGAP11A,-1.5614468317764134
FCGR3B,1.5530906877215425
STMN1,1.5256998784557785
MAGED2,1.5200151738030534
MSX2,1.5183342036232577
KIF3A,-1.516686066346312
CXCL1,-1.5159299919050817
AARS,1.5108299490918622
SCCPDH,-1.5103459638111827
INPP4B,1.4962955774138114
RHOB,1.4956130476638871
C16orf45,1.4879922415132005
PROM1,-1.4865009158613214
ANKMY2,-1.4842942459408843
CYB5A,1.4729002892780314
GTSE1,1.4691931005779109
CDC25A,1.4613145585560625
TTC6,1.4556942731949871
FSCN1,-1.439214088826967
LPIN1,-1.4355784664439357
FBXL5,-1.4289004950290483
CELSR1,1.4213309215738326
TPRN,-1.4143620178267238
DNAH1,-1.4011487807370304
GATA3,-1.4006092648116863
TNXB,-1.3969986549997968
PERP,1.387456837250198
TPX2,-1.3623275936588912
KIF15,1.3607355486938406
RABEP1,1.3566910271569739
ANXA8,-1.3551297726715257
TPCN1,1.3482786299244054
FANCE,1.341089782320174
FOXC1,-1.3312811334718764
LRRC32,-1.32011067818264
CH25H,-1.315642327975093
TSPAN8,1.3153813856546683
TMX1,1.2693874455286307
MTBP,-1.2668473447705646
TROAP,-1.259772942874099
TRPV6,-1.2562167116716851
LASP1,1.234812652957974
CLSPN,-1.2245607203317657
PM20D2,1.2155741581288106
FUT8,-1.2154850004457143
CYCS,-1.2040358723715585
LDHB,1.2035593132021485
IGF1R,1.1995875459429495
F3,-1.1984271977918777
SREBF2,-1.187098168954663
BMPR1B,-1.1782683052525027
GLUD1,1.1772610225017044
BCL11A,-1.1770675320774928
TYMS,-1.1696702872236189
EXO1,1.169040741143794
FAM72A,-1.1563006557349345
DLGAP5,-1.14886584875772
ENPP1,1.1183138282353267
SIRPA,-1.1134378907010052
RAB11FIP3,-1.1105628796535514
SHC2,1.1041783135991903
TUBA1B,1.1035045690417211
DIAPH3,1.0866409967430966
KLK6,1.0859525372602608
CXXC5,-1.081936799614318
RHBDF2,1.0788578109233953
CDK18,-1.0652906445614703
IGF2BP2,1.065181831803777
MAD2L1,-1.043668292146808
SNRPG,1.036171524376401
GMPS,-1.0250654130064378
CDKN3,0.9985649618831363
SLC44A4,-0.9951815669715037
AURKA,0.9509335544038628
IL34,0.9486178369628777
KIF20A,-0.9480885627653377
MZT1,-0.9239105660309382
NCAPG,0.9163480041370933
RPS4X,0.8837314986289454
B3GNT5,-0.8771817650769873
BCAS1,-0.8464193451479227
MCM4,0.8407273392139032
THSD4,0.8395657131482158
WFS1,-0.8371216673235077
GSDMC,0.8167051418604366
OIP5,-0.808476020214289
TOP2A,0.8084728992365108
ABL1,-0.7999781779565137
NUSAP1,0.7969714590031967
MICAL3,0.7836867874784574
KNTC1,-0.7663298143435987
CA12,-0.7642052576904291
BCAM,0.7547823664224459
SPAG5,0.7533740683485446
ESR1,-0.7513830287263847
ASAP2,0.7508956163780581
LAMC2,0.7356856264995878
KRT5,-0.7224331417971496
PPP1R14A,0.6982940591453382
