GENE,COEFFICIENT
FBXL5,3.639376560170663
BCL11A,3.594655928253221
KIAA0040,3.5875330774329437
OGN,-3.5724181823939243
TRPM4,3.5653963568551403
TTK,-3.5566756335714906
NCAPG,3.5378770454314394
IQGAP2,3.5297770653510967
SPDEF,-3.5194212774980183
DEGS2,3.5159305111437433
PSMG1,3.5102859707038423
HLTF,3.496828948665941
MAP3K12,-3.4767656349448735
KLK8,-3.425218454170666
BCAM,-3.4090168712985673
RASL11A,3.3738828157599983
FSCN1,-3.3720930920995564
ZFP36,3.3066539924554097
UBASH3B,3.2785557507441996
NUDT8,-3.2762672066022205
FXYD1,-3.2687645257058446
SIDT1,-3.231904951664148
ABL1,-3.2238698665963295
ZMYND10,3.2225336426856432
EPHA2,-3.207720173238027
ELOVL2,3.1805078900572488
EXO1,3.1569240797643094
PPP1R14C,-3.1557445461324503
MELK,3.12457525713754
RSPH1,-3.086348955329415
VGLL1,3.076547933659967
BBOX1,3.0330475660770198
GRB7,3.020033613192197
GAMT,2.998223253624867
C20orf96,-2.9741142332108517
PROM1,-2.9291758955139304
ZBTB4,-2.9180195383177723
SLC19A2,2.915763844440295
PHOSPHO2,2.905790431570017
SNRPG,2.8478212983440723
PRR11,2.8340895923549443
UBE2C,2.817241554162861
DBF4,-2.8064533114076893
CYCS,-2.783693819095824
KIF15,2.766911465092602
SREBF2,2.732915162684665
NCAPH,2.69520810432637
NUP155,-2.6783200719886393
SALL2,-2.660134986863346
BMPR1B,-2.6557347255464694
KRT14,-2.630014467993075
B3GNT3,-2.6203313992076125
SLC25A35,-2.615470900593381
GBP5,-2.6043144157924982
CH25H,-2.6003186029619987
KPNA2,-2.5996961310177182
CYP39A1,2.58175065679611
TONSL,-2.571107987295321
DNAH1,2.566064492725783
KCNK15,2.5346878488441633
F10,-2.4981986503934714
CCDC74B,2.4884697179262396
TGFA,2.4818773501436575
CLSTN2,2.478521199962734
ARL4C,-2.4686552696110877
CDC25A,-2.462270612498314
PALM,2.432273788825422
TGFB3,2.4245220401027523
MARVELD2,-2.4192051661089504
RGMA,2.415562043873764
CENPI,-2.3955221770264856
CA9,-2.377389555962
CENPW,2.3289767280663027
ATP7B,-2.326710068394427
BUB1,2.319178537145473
TSPAN15,-2.316377024269551
KRT16,2.2533326234947384
LPIN1,2.241370276930296
RARA,2.228677460077165
RALGPS2,-2.193474737473452
TMEM88,-2.1561001304564393
TTLL7,2.1378997156417143
SHCBP1,2.131396884197974
MYH11,-2.081837991946083
TTYH3,2.0652590139565974
CX3CR1,2.0543882445265926
TSPAN1,2.0541534521450338
RGS11,2.0469137679691403
NCAPG2,2.0195008918892814
FASN,-2.0141569404640944
TNXB,2.012330939179274
NEK2,-2.0059580751294157
CAPN13,2.002098533138217
DCAF13,1.9882623526681245
SLC7A8,1.9577017030718469
ARHGAP39,1.9244409937535394
MZT1,-1.9209959440039885
SHC2,-1.8751358603037687
DNMT3B,-1.8628438233105646
NUF2,1.8492225094968966
E2F1,1.847472299162261
NAT1,1.847201589250639
AKR7A3,-1.8325683809460491
PINK1,1.822761563217915
MICAL3,1.8174743728813865
APP,1.8011537847612156
INPP4B,-1.8003912154373463
CABIN1,1.7970319771821595
REEP6,1.7918777920691584
MCM2,1.7759170477378157
FAM72A,-1.7713759493030792
ZWINT,1.732057023666951
TMPO,1.7284885997843622
STMN1,-1.720838102300469
CAV1,-1.7065837799071562
PRELP,1.6928310533265751
FAM20A,-1.6872642552472108
CHRD,-1.6705258475063274
SERPINA3,-1.6459948006792446
EPHB3,1.6436051817623187
CRYM,-1.6022652077880095
ZMYND8,1.5877282985503771
WDR77,-1.5655834551162628
UCP2,-1.5562161646559627
H2AFZ,1.538438879941383
CYB5A,-1.5252116600534493
RHOB,-1.524279106723357
IGF2BP2,-1.516943410196922
C12orf76,-1.5098618129760502
MEIS2,-1.4949513238575758
DALRD3,-1.4633957686983514
C16orf45,-1.4526119901871368
ADCY4,-1.441743815712864
DDC,-1.4239389252559607
CDK1,-1.4071814179787454
ADCY9,-1.4066713730127816
CDC20,-1.40571813350369
COL7A1,-1.3969145327062633
CLSPN,1.3900031803662374
CYYR1,1.3622579266645807
PDSS1,1.3562404577575666
ACACB,1.3212583376024964
ST3GAL3,-1.282582714765039
ABHD6,-1.2596114175655397
SFRP1,-1.2594662452134255
ARSG,-1.2582738321507418
C2orf40,-1.2559322734193925
SKP2,1.252347483046588
AKR1C3,1.2477671644773218
KCNK5,-1.2431408040076248
ITGB8,-1.2362647570803522
LEMD1,-1.2326861481812077
ULBP3,-1.2318103326056866
SERPINB5,1.2277283202310936
SLC39A6,1.2105491249914446
ERGIC1,-1.166690287188656
